country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,9.109,7.912,3.263,1.441,0.046
UGA,22.594,34.144,1.644,0.215,0.085
PHL,67.562,86.724,3.626,0.506,0.069
COD,17.035,26.161,4.668,0.033,0.035
BRA,6.45,8.05,1.034,0.611,0.03
EST,13.051,12.134,5.472,2.006,0.144
NZL,0.071,0.077,0.042,0.017,0.001
BGD,45.698,55.289,10.115,1.881,0.131
MDG,5.575,7.516,1.089,0.199,0.014
DZA,36.991,41.131,4.252,1.429,0.074
NGA,14.955,21.524,10.409,1.114,0.126
TWN,25.261,26.627,3.576,2.168,0.065
CMR,33.648,43.94,9.6,0.74,0.132
JPN,7.018,7.707,4.264,1.217,0.022
MAR,23.495,27.028,4.005,2.069,0.121
RWA,0.828,1.343,3.518,0.96,0.18
BEL,23.171,22.041,5.673,1.023,0.07
ITA,11.303,9.407,6.551,3.379,0.086
IRL,27.144,24.898,15.845,2.809,0.234
TJK,7.058,10.754,3.33,0.962,0.188
PRT,20.17,18.083,4.041,1.377,0.038
USA,0.191,0.206,0.421,0.211,0.022
IND,28.582,47.015,14.7,2.43,0.11
ESP,16.462,16.918,1.082,0.49,0.011
LBY,84.578,106.734,16.337,2.924,0.503
MYS,0.168,0.222,0.101,0.021,0.001
HRV,8.268,8.129,3.93,1.708,0.05
GEO,5.19,4.298,3.255,2.78,0.65
DOM,34.996,36.542,7.326,2.947,0.137
CZE,12.024,10.974,4.064,2.238,0.078
VEN,58.064,69.892,19.766,7.221,0.362
NPL,12.454,12.7,9.803,2.309,0.096
MEX,74.139,86.677,11.818,4.966,0.217
CHE,8.52,10.429,6.422,2.255,0.132
JOR,28.815,38.286,4.54,1.709,0.118
IRQ,45.549,59.051,37.995,0.822,0.112
IDN,26.456,44.885,16.189,0.969,0.104
BEN,21.483,26.902,5.89,0.728,0.06
TCD,8.739,13.493,4.307,0.488,0.047
BTN,43.206,53.527,3.322,0.646,0.064
KAZ,16.11,24.563,21.207,5.064,0.491
DNK,0.09,0.095,0.063,0.024,0.001
GHA,,66.335,15.157,2.207,0.192
GAB,27.405,39.293,4.307,2.364,1.157
PNG,30.465,32.087,19.234,3.071,0.171
SAU,5.753,6.338,0.33,0.057,0.005
KEN,26.0,36.685,5.673,0.872,0.18
YEM,5.632,9.058,8.924,0.147,0.036
IRN,6.224,7.478,1.151,0.576,0.023
QAT,140.67,182.979,165.89,2.983,0.416
KOR,0.968,1.17,0.226,0.123,0.002
RUS,5.475,4.414,1.845,1.394,0.093
EGY,18.396,19.386,4.767,1.482,0.095
SVK,0.496,0.486,0.203,0.116,0.004
SLV,9.695,11.878,1.206,0.446,0.056
UKR,2.931,1.678,1.075,0.853,0.258
DEU,14.009,12.28,6.17,2.574,0.07
POL,0.147,0.107,0.08,0.058,0.003
KHM,55.324,64.806,12.623,1.121,0.18
ARG,120.355,138.309,5.821,1.258,0.136
COL,24.598,23.233,4.67,1.972,0.064
MLT,0.749,0.826,0.375,0.092,0.005
THA,41.327,61.056,3.019,1.97,0.099
PAK,2.113,4.314,1.867,0.417,0.125
ARE,77.887,99.423,98.847,1.34,0.324
BFA,15.819,21.886,9.897,0.286,0.102
LUX,41.198,39.276,25.487,12.337,0.425
SYR,28.979,39.1,4.614,0.167,0.157
PAN,4.594,5.568,0.371,0.125,0.016
GBR,0.064,0.069,0.045,0.012,0.001
ARM,3.296,2.164,1.037,0.417,0.013
UZB,33.693,37.528,5.23,0.434,0.101
LBN,2.175,3.071,0.907,0.32,0.015
AUT,8.791,7.155,3.288,0.715,0.038
CUB,0.943,1.121,1.01,0.759,0.049
VNM,29.095,33.912,16.558,5.327,0.181
ZAF,35.148,42.715,3.381,0.795,0.117
PER,12.356,12.895,1.514,0.21,0.022
FIN,2.356,2.254,1.569,0.241,0.014
AFG,1.125,1.52,0.822,0.139,0.01
CHL,0.023,0.03,0.009,0.003,0.0
SDN,42.651,53.852,53.705,0.832,0.257
TZA,0.124,0.309,0.138,0.013,0.003
MDA,43.858,35.756,22.976,9.216,0.414
FRA,4.286,3.534,1.84,0.743,0.023
AZE,22.044,21.245,13.679,6.909,0.303
KGZ,5.631,7.955,2.119,0.633,0.332
SVN,0.24,0.271,0.194,0.075,0.002
GMB,8.982,16.975,7.938,0.358,0.096
GRC,29.342,28.424,7.934,2.847,0.078
MNG,41.867,45.611,4.331,1.539,0.58
NLD,43.512,48.418,3.391,1.104,0.044
LTU,15.843,14.129,0.951,0.582,0.041
ISR,28.613,37.078,2.436,1.398,0.195
LVA,9.032,8.607,2.295,1.467,0.064
TUR,23.165,30.823,3.576,1.835,0.095
OMN,11.866,15.503,15.486,0.506,0.059
FJI,0.266,0.178,0.056,0.021,0.001
ETH,8.158,11.573,4.441,0.424,0.079
ECU,25.462,32.54,5.457,0.761,0.107
CAF,4.918,7.912,4.3,0.308,0.075
AUS,0.191,0.199,0.207,0.067,0.007
NOR,2.303,2.351,1.079,0.153,0.011
CHN,6.777,8.586,1.886,0.843,0.02
HUN,16.91,17.377,3.286,0.821,0.062
BHR,38.681,48.095,7.823,1.299,0.121
BDI,0.024,0.045,0.035,0.072,0.072
PRI,17.56,15.113,6.413,4.413,0.155
VUT,35.803,37.622,22.441,1.182,0.181
CAN,1.803,2.089,1.43,0.403,0.04
MOZ,6.604,8.65,3.673,0.135,0.037
ISL,1.476,1.392,0.982,0.104,0.007
TUN,47.685,60.295,4.338,2.297,0.136
ALB,41.452,44.474,20.146,9.378,0.315
BGR,10.342,9.23,3.939,1.551,0.048
SWE,28.245,31.531,10.046,1.455,0.138
