country,PWID,PWID + Campaign,PWID + Campaign + Prison,PWID + Campaign + Prison + Schools,PWID + Campaign + Prison + Schools + Adults
ROU,10.405,10.354,4.158,1.841,0.056
UGA,22.611,34.373,1.65,0.216,0.085
PHL,67.8,88.252,3.652,0.509,0.069
COD,17.051,26.33,4.67,0.033,0.035
BRA,6.469,8.081,1.036,0.612,0.03
EST,14.654,14.318,6.407,2.359,0.166
NZL,0.072,0.078,0.042,0.017,0.001
BGD,46.096,57.611,10.237,1.903,0.132
MDG,5.626,7.913,1.13,0.207,0.015
DZA,37.542,42.219,4.32,1.452,0.075
NGA,15.067,22.187,10.622,1.136,0.128
TWN,25.993,28.439,3.689,2.236,0.067
CMR,33.922,47.442,9.801,0.756,0.134
JPN,7.36,8.249,4.513,1.289,0.023
MAR,23.59,27.189,4.022,2.077,0.121
RWA,0.838,1.366,3.579,0.976,0.182
BEL,24.43,23.446,5.993,1.08,0.073
ITA,11.902,10.209,7.03,3.631,0.091
IRL,27.798,25.722,16.143,2.86,0.237
TJK,7.107,11.305,3.466,0.996,0.189
PRT,21.461,21.395,4.36,1.485,0.04
USA,0.195,0.211,0.428,0.215,0.022
IND,28.666,47.67,14.823,2.45,0.11
ESP,17.609,18.177,1.14,0.517,0.012
LBY,85.431,109.78,16.489,2.949,0.506
MYS,0.169,0.224,0.101,0.021,0.001
HRV,8.595,8.565,4.074,1.771,0.051
GEO,5.444,4.543,3.429,2.922,0.665
DOM,36.08,39.476,7.835,3.152,0.145
CZE,12.511,11.664,4.279,2.358,0.082
VEN,59.056,72.173,20.34,7.431,0.369
NPL,12.881,13.24,10.209,2.412,0.099
MEX,75.759,91.171,12.248,5.147,0.224
CHE,8.55,10.471,6.449,2.264,0.132
JOR,28.854,38.411,4.549,1.712,0.118
IRQ,45.553,59.063,38.053,0.823,0.112
IDN,26.531,45.566,16.531,0.99,0.105
BEN,21.571,27.733,6.052,0.748,0.062
TCD,8.785,13.75,4.373,0.496,0.047
BTN,44.07,57.389,3.466,0.673,0.066
KAZ,16.314,25.225,21.74,5.193,0.501
DNK,0.091,0.096,0.063,0.025,0.001
GHA,,67.098,15.276,2.224,0.193
GAB,27.51,39.878,4.351,2.38,1.159
PNG,31.277,33.778,20.173,3.228,0.177
SAU,5.82,6.439,0.333,0.057,0.005
KEN,26.089,37.197,5.739,0.881,0.182
YEM,5.648,9.11,8.974,0.148,0.036
IRN,6.265,7.599,1.165,0.583,0.024
QAT,140.771,183.264,166.149,2.987,0.416
KOR,0.972,1.176,0.227,0.123,0.002
RUS,5.818,4.94,2.052,1.551,0.103
EGY,18.894,19.934,4.883,1.517,0.097
SVK,0.502,0.494,0.205,0.117,0.004
SLV,9.766,12.024,1.22,0.451,0.056
UKR,2.976,1.722,1.102,0.871,0.259
DEU,14.604,12.889,6.411,2.675,0.072
POL,0.149,0.109,0.081,0.059,0.003
KHM,55.683,65.741,12.833,1.139,0.182
ARG,121.613,141.654,5.899,1.275,0.137
COL,25.821,24.79,5.008,2.117,0.068
MLT,0.753,0.831,0.377,0.093,0.005
THA,41.703,63.356,3.065,2.0,0.1
PAK,2.127,4.364,1.886,0.42,0.125
ARE,77.918,99.504,98.927,1.34,0.325
BFA,15.864,22.151,10.012,0.289,0.103
LUX,43.722,43.147,27.534,13.353,0.454
SYR,29.079,39.512,4.663,0.168,0.158
PAN,4.618,5.616,0.373,0.125,0.016
GBR,0.065,0.07,0.045,0.012,0.001
ARM,3.326,2.198,1.052,0.422,0.013
UZB,34.211,39.657,5.378,0.444,0.103
LBN,2.176,3.075,0.908,0.32,0.015
AUT,9.3,7.617,3.449,0.75,0.04
CUB,0.944,1.123,1.011,0.76,0.049
VNM,29.534,35.25,17.121,5.515,0.185
ZAF,35.468,44.988,3.472,0.816,0.119
PER,12.523,13.214,1.549,0.214,0.023
FIN,2.434,2.339,1.618,0.249,0.014
AFG,1.13,1.537,0.831,0.14,0.01
CHL,0.023,0.03,0.009,0.003,0.0
SDN,42.69,53.986,53.839,0.833,0.257
TZA,0.125,0.309,0.138,0.013,0.003
MDA,47.554,51.326,24.195,9.707,0.431
FRA,4.478,3.713,1.904,0.769,0.023
AZE,22.709,22.868,14.405,7.283,0.315
KGZ,5.702,8.173,2.167,0.639,0.333
SVN,0.242,0.273,0.195,0.076,0.002
GMB,9.028,17.233,8.008,0.36,0.096
GRC,31.546,31.317,8.131,2.919,0.08
MNG,42.487,48.185,4.451,1.565,0.585
NLD,44.298,49.708,3.457,1.125,0.045
LTU,18.581,18.151,1.021,0.624,0.044
ISR,28.718,37.362,2.446,1.403,0.195
LVA,9.696,9.565,2.517,1.61,0.069
TUR,23.2,30.898,3.582,1.838,0.095
OMN,11.879,15.544,15.527,0.508,0.059
FJI,0.266,0.179,0.056,0.021,0.001
ETH,8.18,11.657,4.469,0.427,0.079
ECU,25.504,32.622,5.492,0.765,0.107
CAF,4.925,7.958,4.324,0.309,0.075
AUS,0.191,0.2,0.207,0.067,0.007
NOR,2.334,2.385,1.09,0.155,0.011
CHN,6.795,8.621,1.891,0.845,0.02
HUN,17.624,18.424,3.376,0.843,0.063
BHR,38.729,48.25,7.848,1.303,0.122
BDI,0.024,0.045,0.035,0.072,0.072
PRI,18.583,17.095,7.142,4.92,0.171
VUT,36.915,40.092,24.189,1.274,0.192
CAN,1.808,2.096,1.435,0.405,0.04
MOZ,6.653,8.999,3.94,0.144,0.039
ISL,1.497,1.413,0.995,0.105,0.007
TUN,48.203,61.945,4.405,2.333,0.138
ALB,42.274,46.151,20.927,9.753,0.326
BGR,11.424,11.324,4.449,1.753,0.053
SWE,29.605,33.513,10.518,1.521,0.142
